編號,問題,答案
46,47.請問如何提前還款？,請撥打(02)5578-1398由專人為您服務說明並確認結清金額。(當日還款需於下午3:30前確認金額)感謝您，您的寶貴回饋將協助我們更好更進步。留言內容聯絡方式專人電話聯繫方便聯繫時段email回覆取消確認送出
47,48.我已經有向銀行貸款，還可以再申請嗎？,可以的！若您有任何資金上的需求，均歡迎您向本行提出申請，本行將依據您當時的個人信用狀況、財資歷狀況及還款能力進行審核，盡可能協助您完成夢想。感謝您，您的寶貴回饋將協助我們更好更進步。留言內容聯絡方式專人電話聯繫方便聯繫時段email回覆取消確認送出
48,49.卡友貸可否整合他行個人信用貸款？,可以的！歡迎您申請玉山卡友貸，我們將提供您貸款整合方案，讓您節省利息，聰明理財，減輕您的貸款負擔。感謝您，您的寶貴回饋將協助我們更好更進步。留言內容聯絡方式專人電話聯繫方便聯繫時段email回覆取消確認送出
49,我要如何查詢我已累積多少紅利點數?,目前查詢紅利點數累積數量有以下幾種方式：1.從信用卡帳單上查詢→紅利點數累積2.撥打刷卡得利語音兌換專線(02)2171-1130查詢3.本行官網查詢→https://ctbc.tw/CQ0910>請點此<4.下載中信卡優惠APP查詢5.加入本行LINEBC官方帳號查詢
50,我的刷卡得利紅利點數有效期限為何？,每戶持卡人之紅利點數累計期間以二年為一期，紅利點數有效使用期限以信用卡帳單所示者為準。只要您所持的中國信託信用卡為有效流通卡且帳款未逾期，即可利用所累積的紅利點數兌換商品。同時，為讓您能將紅利點數充分利用，我們會於帳單上的紅利點數有效使用期限到期時自動延長三個月兌換期（但延展期間之紅利點數，不可用於即時折抵及不可與新累積之紅利點數合併使用），為保障您的權益，請把握兌換時效，一但超過延長期限，系統會自動將累積紅利點數歸零。
51,我如何使用紅利點數兌換商品？,可透過以下幾個通路進行兌換：1.撥打刷卡得利語音兌換專線(02)2171-11302.登入網銀兌換→https://ctbc.tw/CQ0910>請點此<3.登入中信卡優惠APP兌換4.百貨商店即時折抵消費金額，查詢百貨商店及折抵比例→https://www.ctbcbank.com/twrbo/zh_tw/cc_index/cc_feedback/cc_bp_index/cc_bp_reedem.html>請點此<5.兌換紅利商品或即享券，配合廠商(1)TicketXpress即享券商城→https://shop.ticketxpress.com.tw/822>請點此<(2)利樂紅利網→https://www.relo.com.tw/relo/ctbccreditlogin.aspx>請點此<6.紅利點數變愛心捐款說明→https://www.ctbcbank.com/twrbo/zh_tw/cc_index/cc_feedback/cc_bp_index/cc_bp_donate.html>請點此<7.兌換哩程說明→https://www.ctbcbank.com/twrbo/zh_tw/cc_index/cc_feedback/cc_bp_index/cc_bp_mileage.html>請點此<8.兌換7-ELEVEn商品流程→https://www.ctbcbank.com/content/dam/minisite/long/atm/7-11bonus/info3.html>請點此<※兌換前請您記得先準備好正卡人具有紅利點數功能之流通可用的信用卡正卡、出生月日及欲兌換商品之編號。※語音、網路或「中信卡優惠APP」…等系統，兌換時間會因晚間系統關檔維護而有所影響操作。
52,我如何以紅利點數折抵年費？,"每1,000點即可折抵年費80元，每2,000點折抵160元，以此類推，您可選擇折抵當期或次期年費，兌換方式如下：1.登入網銀→https://ctbc.tw/CQ0910>請點此<2.撥打刷卡得利語音兌換專線(02)2171-1130"
53,紅利兌換商品中的兌換券是否有使用期限？,因為兌換券的使用期限請依刊登期限使用，故於兌換前，請先考量您可配合使用的時間，因一經兌換，恕不退還。
54,紅利點數移轉至航空公司的「哩程酬賓計劃」所需要時間為何？紅利點數移轉後有何優惠？,移轉時間：需視各家航空公司的「哩程酬賓計劃」入哩時間而定，預計將於移轉後之二~三週可加入各哩程酬賓計劃帳戶中。紅利點數移轉後可享有優惠內容請至各航空公司的「哩程酬賓計劃」官網查詢：(1)「亞洲萬里通」旅遊獎勵計劃活動內容查詢網址：https://www.asiamiles.com/zh/sef.html/tw-cug-ctbc-bank>https://www.asiamiles.com/zh/sef.html/tw-cug-ctbc-bank<(2)長榮航空「無限萬哩遊哩程酬賓計劃」活動內容查詢網址：http://www.evaair.com/zh-tw/infinity-mileagelands/membership-benefits/introduction/>http://www.evaair.com/zh-tw/infinity-mileagelands/membership-benefits/introduction/<(3)中華航空「華夏哩程酬賓計劃」活動內容查詢網址：http://www.china-airlines.com>http://www.china-airlines.com<(4)新加坡航空「新航獎勵計劃KrisFlyer」活動內容查詢網址：http://www.singaporeair.com>http://www.singaporeair.com<以上各航空公司酬賓計劃內容若有修改，請以各航空公司最新公布為準。
55,我是否可指定不同的送貨地址？,為維護持卡人權益，避免他人冒用持卡人名義兌換回饋項目，商品或兌換券之寄送地址一律為信用卡帳單，中國信託亦不接受指定非持卡人本人為收件人。
56,我剛兌換的商品/折抵年費/哩程移轉/電信酬賓基金/捐款金可否取消？,所有的兌換都是經由電腦自動傳輸作業，故一經語音或網路系統確認兌換完成，恕不接受取消。
57,什麼是直接付?,「直接付」提供您便利、安全的行動錢包服務，已於逾萬家商店提供服務，中國信託信用卡卡友只需下載「中信卡優惠」APP到適用商店即可享受便利的手機付款。
58,我想使用直接付，請問需要準備什麼呢?,請先下載中信卡優惠APP登入「中信卡優惠」APP進行「直接付」設定（請準備您的中國信託信用卡）
59,如何將中信卡加入直接付?,請打開您的「中信卡優惠」APP選擇「直接付」登入網銀帳號設定直接付密碼選定中國信託信用卡並輸入效期限以中國信託發行之有效信用卡(排除簽帳金融卡、公司卡、AE卡)進行綁定。
60,哪裡可以使用直接付?,直接付可於以下商店使用***。(上刊時依實況填載)註：可使用直接付之商店以該商店範圍內實際使用之刷卡機接受之付款方式為準，如有變動以各商店店內規範為主。
61,如何使用直接付?,請打開您的「中信卡優惠」APP選擇「直接付」選擇「使用直接付」輸入直接付密碼商店掃描條碼付款
